Match Format,Team1 Name,Team2 Name,Match Venue (Stadium),Match Venue (Country),Toss Winner,Toss Winner Choice,Match Winner,Team1 Runs Scored,Team1 Wickets Fell,Team2 Runs Scored,Team2 Wickets Fell
ODI,India,West Indies,Lord's,England,West Indies,bowl,India,183,10,140,10
ODI,Pakistan,India,Lal Bahadur Shastri Stadium,India,India,bowl,India,151,8,152,6
ODI,Pakistan,India,Sawai Mansingh Stadium,India,India,bowl,India,166,9,169,6
ODI,India,West Indies,Sher-i-Kashmir Stadium,India,West Indies,bowl,West Indies,176,10,108,0
ODI,India,West Indies,Moti Bagh Stadium,India,India,bat,West Indies,214,6,217,6
ODI,India,West Indies,Nehru Stadium,India,India,bat,West Indies,240,7,241,2
ODI,West Indies,India,Keenan Stadium,India,India,bowl,West Indies,333,8,229,5
ODI,India,West Indies,Nehru Stadium,India,West Indies,bowl,West Indies,178,7,182,4
ODI,West Indies,Australia,Melbourne Cricket Ground,Australia,West Indies,bat,West Indies,221,7,194,10
ODI,Australia,Pakistan,Sydney Cricket Ground,Australia,Pakistan,bowl,Australia,264,8,230,9
ODI,Pakistan,West Indies,Melbourne Cricket Ground,Australia,Pakistan,bat,Pakistan,208,8,111,10
ODI,Pakistan,West Indies,Brisbane Cricket Ground,Australia,Pakistan,bat,West Indies,174,9,175,5
ODI,Pakistan,Australia,Brisbane Cricket Ground,Australia,Australia,bowl,0,184,6,15,0
ODI,West Indies,Australia,Sydney Cricket Ground,Australia,West Indies,bat,West Indies,223,7,195,9
ODI,Pakistan,West Indies,Sydney Cricket Ground,Australia,Pakistan,bat,West Indies,184,8,185,5
ODI,Australia,Pakistan,Melbourne Cricket Ground,Australia,Australia,bat,Australia,209,8,166,10
ODI,West Indies,Australia,Melbourne Cricket Ground,Australia,West Indies,bat,West Indies,252,6,226,10
ODI,Australia,Pakistan,Sydney Cricket Ground,Australia,Australia,bat,Australia,244,8,157,10
ODI,Pakistan,West Indies,Adelaide Oval,Australia,Pakistan,bat,West Indies,177,8,180,9
ODI,Australia,West Indies,Adelaide Oval,Australia,Australia,bat,West Indies,165,7,169,4
ODI,Australia,Pakistan,Adelaide Oval,Australia,Australia,bat,Australia,210,8,140,10
ODI,Pakistan,West Indies,Western Australia Cricket Association Ground,Australia,Pakistan,bat,West Indies,182,7,183,3
ODI,Australia,West Indies,Western Australia Cricket Association Ground,Australia,Australia,bat,Australia,211,8,197,10
ODI,Australia,West Indies,Sydney Cricket Ground,Australia,West Indies,bowl,West Indies,160,10,161,1
ODI,West Indies,Australia,Melbourne Cricket Ground,Australia,West Indies,bat,0,222,5,222,9
ODI,Australia,West Indies,Melbourne Cricket Ground,Australia,Australia,bat,West Indies,212,8,213,4
ODI,England,New Zealand,Lancaster Park,New Zealand,New Zealand,bowl,England,188,9,134,10
ODI,New Zealand,England,Basin Reserve,New Zealand,New Zealand,bat,England,135,10,139,4
ODI,England,New Zealand,Eden Park,New Zealand,England,bat,New Zealand,209,9,210,3
ODI,Australia,West Indies,Albion Sports Complex,West Indies,Australia,bat,West Indies,231,5,233,2
ODI,New Zealand,Sri Lanka,Sinhalese Sports Club Ground,Sri Lanka,Sri Lanka,bowl,New Zealand,234,6,130,10
ODI,England,Pakistan,Gaddafi Stadium,Pakistan,Pakistan,bowl,Pakistan,184,8,187,4
ODI,West Indies,Australia,Queen's Park Oval,West Indies,Australia,bowl,Australia,190,6,194,6
ODI,Pakistan,England,National Stadium,Pakistan,England,bowl,England,163,8,164,4
ODI,Sri Lanka,New Zealand,Tyronne Fernando Stadium,Sri Lanka,New Zealand,bowl,Sri Lanka,157,8,116,10
ODI,New Zealand,Sri Lanka,P Saravanamuttu Stadium,Sri Lanka,Sri Lanka,bowl,New Zealand,201,8,115,10
ODI,Pakistan,Sri Lanka,Sharjah Cricket Association Stadium,United Arab Emirates,Sri Lanka,bowl,Sri Lanka,187,9,190,5
ODI,Sri Lanka,India,Sharjah Cricket Association Stadium,United Arab Emirates,India,bowl,India,96,10,97,0
ODI,India,Pakistan,Sharjah Cricket Association Stadium,United Arab Emirates,India,bat,India,188,4,134,10
ODI,Australia,West Indies,Mindoo Phillip Park,West Indies,West Indies,bowl,West Indies,206,9,208,3
ODI,Australia,West Indies,Sabina Park,West Indies,West Indies,bowl,West Indies,209,7,211,1
ODI,West Indies,England,Old Trafford,England,West Indies,bat,West Indies,272,9,168,10
ODI,West Indies,England,Trent Bridge,England,England,bowl,England,179,10,180,7
ODI,England,West Indies,Lord's,England,West Indies,bowl,West Indies,196,9,197,2
ODI,Australia,India,Jawaharlal Nehru Stadium,India,Australia,bat,Australia,220,9,172,10
